from_en,to_en,km
Riyadh,Al-Kharj,94.6
Riyadh,Al-Aflaj,291.2
Riyadh,Al Majmaah,193.3
Riyadh,Al Duwadimi,317.3
Riyadh,Afif,487
Riyadh,Wadi Al-Dawasir,619.5
Riyadh,Al-Zilfi,271.6
Riyadh,Shaqra,191.1
Riyadh,Al-Quwaiiyah,178.4
Riyadh,Hotat Bani Tamim,154.6
Riyadh,Al-Sulayyil,532.3
Riyadh,Sajir,275.8
Riyadh,Al-Dilam,112.7
Riyadh,Jeddah,947.9
Riyadh,Makkah,871.4
Riyadh,Taif,785.8
Riyadh,Al Qunfudhah,969.4
Riyadh,Rabigh,1119.8
Riyadh,Al-Lith,1067.8
Riyadh,Khulais,971.4
Riyadh,Al-Jamoum,888.9
Riyadh,Al-Khurma,707.5
Riyadh,Ranyah,632.9
Riyadh,Turabah,801.2
Riyadh,Madinah,836.3
Riyadh,Yanbu,1058.3
Riyadh,Al-Ula,1035.3
Riyadh,Al-Mahd,788.4
Riyadh,Khaybar,999.3
Riyadh,Badr,970.3
Riyadh,Al-Hinakiyah,729.5
Riyadh,Buridah,346.2
Riyadh,Onizah,349.1
Riyadh,Al-Rass,408.2
Riyadh,Al-Mithnab,340
Riyadh,Al-Bukayriyah,374.8
Riyadh,Al-Asyah,395.9
Riyadh,Riyadh Al-Khabra,399.2
Riyadh,Dammam,405.2
Riyadh,Khobar,423.9
Riyadh,Al-Ahsa,326.2
Riyadh,Hafar Al-Batin,499.7
Riyadh,Khafji,597.2
Riyadh,Al-Jubail,457.6
Riyadh,Qatif,427.1
Riyadh,Al-Mubarraz,329.9
Riyadh,Abqaiq,368.9
Riyadh,Al-Nairyah,467.4
Riyadh,Qaisumah,506.4
Riyadh,Ras Tanura,460.5
Riyadh,Abha,945.6
Riyadh,Khamis Mushait,918.3
Riyadh,Bisha,711.2
Riyadh,Muhayil,966.6
Riyadh,Tathlith,835
Riyadh,Sarat Abidah,952.6
Riyadh,Ahad Rafidah,938.7
Riyadh,Rijal Almaa,1001
Riyadh,Dhahran Al-Janub,1044.3
Riyadh,Balqarn,828.1
Riyadh,Tabuk,1347.7
Riyadh,Al-Wajh,1375.2
Riyadh,Duba,1522.6
Riyadh,Tayma,1020.8
